frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
30,1,squat,0,0,1,0,0,0,0,1
60,2,squat,0,0,2,0,0,0,0,2
90,3,squat,0,0,3,0,0,0,0,3
120,4,squat,0,0,4,0,0,0,0,4
150,5,squat,0,0,5,0,0,0,0,5
180,6,pullup,0,0,5,1,0,0,0,6
210,7,pullup,0,0,5,2,0,0,0,7
240,8,pullup,0,0,5,3,0,0,0,8
270,9,pullup,0,0,5,4,0,0,0,9
300,10,pullup,0,0,5,5,0,0,0,10
330,11,pullup,0,0,5,6,0,0,0,11
360,12,abworkout,0,1,5,6,0,0,0,12
390,13,abworkout,0,2,5,6,0,0,0,13
420,14,abworkout,0,3,5,6,0,0,0,14
450,15,pushup,1,3,5,6,0,0,0,15
480,16,pushup,2,3,5,6,0,0,0,16
510,17,pushup,3,3,5,6,0,0,0,17
540,18,pushup,4,3,5,6,0,0,0,18
570,19,pushup,5,3,5,6,0,0,0,19
600,20,pushup,6,3,5,6,0,0,0,20
630,21,pushup,7,3,5,6,0,0,0,21
660,22,pushup,8,3,5,6,0,0,0,22
690,23,abworkout,8,4,5,6,0,0,0,23
720,24,abworkout,8,5,5,6,0,0,0,24
750,25,abworkout,8,6,5,6,0,0,0,25
780,26,abworkout,8,7,5,6,0,0,0,26
